"","month","year","Date","Site.Name","COUNTY","meanLAT","meanLONG","Ozone","PM2.5"
"69",1,2018,2018-01-07,"Bryson City","Swain",35.434767,-83.442133,NA,54
"70",1,2018,2018-01-07,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,9
"71",1,2018,2018-01-07,"Clemmons Middle","Forsyth",36.026,-80.342,NA,49
"72",1,2018,2018-01-07,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,39
"73",1,2018,2018-01-07,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,31,47
"74",1,2018,2018-01-07,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,28
"75",1,2018,2018-01-07,"Leggett","Edgecombe",35.988278,-77.5843,NA,15
"76",1,2018,2018-01-07,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,38
"77",1,2018,2018-01-07,"Millbrook School","Wake",35.856111,-78.574167,34,48
"78",1,2018,2018-01-07,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,18
"79",1,2018,2018-01-07,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,27
"80",1,2018,2018-01-08,"Bryson City","Swain",35.434767,-83.442133,NA,71
"81",1,2018,2018-01-08,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,11
"82",1,2018,2018-01-08,"Clemmons Middle","Forsyth",36.026,-80.342,NA,52
"83",1,2018,2018-01-08,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,34.5
"84",1,2018,2018-01-08,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,3
"85",1,2018,2018-01-08,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,16,53
"86",1,2018,2018-01-08,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,40
"87",1,2018,2018-01-08,"Leggett","Edgecombe",35.988278,-77.5843,NA,40
"88",1,2018,2018-01-08,"Linville Falls","Avery",35.972347,-81.933072,NA,22
"89",1,2018,2018-01-08,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,44
